Ranking Section,Item Name,Internal Category,Score (Worst to Best),Assigned Group
,KOD_Sticker_Girl6,weapons,100.0010,TIER 3 / MILITARY
,KOD_Sticker_Girl7,weapons,100.0010,TIER 3 / MILITARY
,KOD_Sticker_Girl8,weapons,100.0010,TIER 3 / MILITARY
,KOD_Sticker_Girl9,weapons,100.0010,TIER 3 / MILITARY
,KOD_Sticker_Girl10,weapons,100.0010,TIER 3 / MILITARY
,KOD_Sticker_Harley,weapons,100.0010,TIER 3 / MILITARY
,KOD_Sticker_Heart,weapons,100.0010,TIER 3 / MILITARY
,KOD_Sticker_HelloKitty,weapons,100.0010,TIER 3 / MILITARY
,KOD_Sticker_Shpagat,weapons,100.0010,TIER 3 / MILITARY
,KOD_Sticker_Dragon,weapons,100.0010,TIER 3 / MILITARY
,KOD_Sticker_Jerry,weapons,100.0010,TIER 3 / MILITARY
,KOD_Sticker_Joker,weapons,100.0010,TIER 3 / MILITARY
,KOD_Sticker_Jordan,weapons,100.0010,TIER 3 / MILITARY
,KOD_Sticker_Lavrov,weapons,100.0010,TIER 3 / MILITARY
,KOD_Sticker_Lavrov2,weapons,100.0010,TIER 3 / MILITARY
,KOD_Sticker_Oni2,weapons,100.0010,TIER 3 / MILITARY
,KOD_Sticker_Ronin,weapons,100.0010,TIER 3 / MILITARY
,KOD_Sticker_Skull,weapons,100.0010,TIER 3 / MILITARY
,KOD_Sticker_Skull2,weapons,100.0010,TIER 3 / MILITARY
,KOD_Sticker_Skull3,weapons,100.0010,TIER 3 / MILITARY
,KOD_Sticker_Skull4,weapons,100.0010,TIER 3 / MILITARY
,KOD_Sticker_Stitch,weapons,100.0010,TIER 3 / MILITARY
,KOD_Sticker_TheEnd,weapons,100.0010,TIER 3 / MILITARY
,KOD_Sticker_Wasserman,weapons,100.0010,TIER 3 / MILITARY
,KOD_Sticker_YinYang,weapons,100.0010,TIER 3 / MILITARY
,KOD_Sticker_ZaLupoy,weapons,100.0010,TIER 3 / MILITARY
,KOD_Revolver50Cal_Cylinder,weapons,100.0010,TIER 3 / MILITARY
,KOD_Revolver50Cal_Ejector,weapons,100.0010,TIER 3 / MILITARY
,Ammo_22,weapons,100.0030,TIER 3 / MILITARY
,Ammo_556x45,weapons,100.0040,TIER 3 / MILITARY
,Ammo_556x45Tracer,weapons,100.0040,TIER 3 / MILITARY
,Ammo_545x39,weapons,100.0040,TIER 3 / MILITARY
,Ammo_545x39Tracer,weapons,100.0040,TIER 3 / MILITARY
,KOD_Ammo_762x25,weapons,100.0050,TIER 3 / MILITARY
,Ammo_380,weapons,100.0060,TIER 3 / MILITARY
,Ammo_9x19,weapons,100.0080,TIER 3 / MILITARY
,Ammo_762x39,weapons,100.0080,TIER 3 / MILITARY
,Ammo_762x39Tracer,weapons,100.0080,TIER 3 / MILITARY
,Ammo_12gaRubberSlug,weapons,100.0080,TIER 3 / MILITARY
,Ammo_357,weapons,100.0080,TIER 3 / MILITARY
,Ammo_308WinTracer,weapons,100.0090,TIER 3 / MILITARY
,Ammo_762x54,weapons,100.0090,TIER 3 / MILITARY
,Ammo_762x54Tracer,weapons,100.0090,TIER 3 / MILITARY
,PumpkinSeeds,weapons,100.0100,CONSTRUCTION & SPARE PARTS
,Mag_12gaSnaploader_2Rnd,weapons,100.0100,TIER 3 / MILITARY
,Ammo_308Win,weapons,100.0100,TIER 3 / MILITARY
,KOD_Ammo_308WinAP,weapons,100.0100,TIER 3 / MILITARY
,KOD_Ammo_458,weapons,100.0100,TIER 3 / MILITARY
,KOD_Ammo_40lw,weapons,100.0100,TIER 3 / MILITARY
,KOD_Ammo_792x57,weapons,100.0100,TIER 3 / MILITARY
,Mag_Dartgun_CO2,weapons,100.0120,TIER 3 / MILITARY
,Ammo_45ACP,weapons,100.0120,TIER 3 / MILITARY
,KOD_Ammo_338,weapons,100.0150,TIER 3 / MILITARY
,Ammo_9x39AP,weapons,100.0160,TIER 3 / MILITARY
,Ammo_9x39,weapons,100.0170,TIER 3 / MILITARY
,Mag_CLIP9x19_10Rnd,weapons,100.0180,TIER 3 / MILITARY
,Mag_CLIP762x54_5Rnd,weapons,100.0200,TIER 3 / MILITARY
,Mag_762x54Snaploader_2Rnd,weapons,100.0200,TIER 3 / MILITARY
,Mag_CLIP762x39_10Rnd,weapons,100.0200,TIER 3 / MILITARY
,Ammo_127x55,weapons,100.0200,TIER 3 / MILITARY
,EyeMask_Valentines,weapons,100.0250,TIER 3 / MILITARY
,Mag_357Speedloader_6Rnd,weapons,100.0250,TIER 3 / MILITARY
,KOD_Ammo_408,weapons,100.0250,TIER 3 / MILITARY
,Ammo_50calBW,weapons,100.0250,TIER 3 / MILITARY
,PumpkinSeedsPack,weapons,100.0300,CONSTRUCTION & SPARE PARTS
,Mag_308WinSnaploader_2Rnd,weapons,100.0300,TIER 3 / MILITARY
,Mag_CMAG_10Rnd,weapons,100.0300,TIER 3 / MILITARY
,Mag_CMAG_10Rnd_Black,weapons,100.0300,TIER 3 / MILITARY
,Mag_CMAG_10Rnd_Green,weapons,100.0300,TIER 3 / MILITARY
,KOD_Ammo_127x108,weapons,100.0300,TIER 3 / MILITARY
,KOD_Ammo_50BMG,weapons,100.0300,TIER 3 / MILITARY
,Ammo_12gaPellets,weapons,100.0350,TIER 3 / MILITARY
,Ammo_12gaSlug,weapons,100.0350,TIER 3 / MILITARY
,Ammo_HuntingBolt,weapons,100.0350,TIER 3 / MILITARY
,Ammo_ImprovisedBolt_1,weapons,100.0350,TIER 3 / MILITARY
,KOD_Ammo_23x75,weapons,100.0400,TIER 3 / MILITARY
,KOD_Ammo_145x114,weapons,100.0400,TIER 3 / MILITARY
,Ammo_ImprovisedBolt_2,weapons,100.0450,TIER 3 / MILITARY
,Ammo_CupidsBolt,weapons,100.0450,TIER 3 / MILITARY
,KOD_DTKPutnik_Black,weapons,100.0500,TIER 3 / MILITARY
,KOD_DTKPutnik_White,weapons,100.0500,TIER 3 / MILITARY
,KOD_DTKPutnik_Tan,weapons,100.0500,TIER 3 / MILITARY
,Mag_Ruger1022_10Rnd,weapons,100.0500,TIER 3 / MILITARY
,Mag_KOD_Vector_30rnd,weapons,100.0500,TIER 3 / MILITARY
,KOD_Ammo_20mm,weapons,100.0500,TIER 3 / MILITARY
,Mag_MKII_10Rnd,weapons,100.0550,TIER 3 / MILITARY
,Mag_CMAG_20Rnd,weapons,100.0600,TIER 3 / MILITARY
,Mag_CMAG_20Rnd_Black,weapons,100.0600,TIER 3 / MILITARY
,Mag_CMAG_20Rnd_Green,weapons,100.0600,TIER 3 / MILITARY
,Mag_1911_7Rnd,weapons,100.0680,TIER 3 / MILITARY
,MakarovPBSuppressor,weapons,100.0700,TIER 1 & 2
,KOD_Glock17_FlashHider,weapons,100.0700,TIER 1 & 2
,KOD_Glock17_Compensator,weapons,100.0700,TIER 1 & 2
,Mag_Deagle_9rnd,weapons,100.0700,TIER 1 & 2
,Mag_KOD_Scorpion_30rnd,weapons,100.0700,TIER 3 / MILITARY
,Mag_KOD_SV98_10rnd,weapons,100.0700,TIER 3 / MILITARY
,Aug_Barrel,weapons,100.0730,TIER 3 / MILITARY
,PNC_BarretM82A1_Suppressor,weapons,100.0730,TIER 4 / ALIEN
,PNC_BarretM82A1_Suppressor_black,weapons,100.0730,TIER 4 / ALIEN
,PNC_BarretM82A1_Suppressor_desert,weapons,100.0730,TIER 4 / ALIEN
,PNC_BarretM82A1_Suppressor_snow,weapons,100.0730,TIER 4 / ALIEN
,Mag_KOD_M110_10rnd,weapons,100.0750,TIER 4 / ALIEN
,Armband_LivoniaPolice,weapons,100.0800,TIER 3 / MILITARY
,Armband_HunterZ,weapons,100.0800,TIER 3 / MILITARY
,MP5_Compensator,weapons,100.0800,TIER 3 / MILITARY
,KOD_Compensator_AR,weapons,100.0800,TIER 3 / MILITARY
,KOD_Compensator_AK,weapons,100.0800,TIER 3 / MILITARY
,Mag_Ruger1022_15Rnd,weapons,100.0800,TIER 3 / MILITARY
,Ammo_Flare,weapons,100.0800,TIER 3 / MILITARY
,Ammo_FlareRed,weapons,100.0800,TIER 3 / MILITARY
,Ammo_FlareGreen,weapons,100.0800,TIER 3 / MILITARY
,Ammo_FlareBlue,weapons,100.0800,TIER 3 / MILITARY
,Singularity_Ammobox,weapons,100.0850,TIER 3 / MILITARY
,AmmoBox_556x45_20Rnd,weapons,100.0850,TIER 3 / MILITARY
,AmmoBox_556x45Tracer_20Rnd,weapons,100.0850,TIER 3 / MILITARY
,AmmoBox_12gaRubberSlug_10Rnd,weapons,100.0850,TIER 3 / MILITARY
,AmmoBox_545x39_20Rnd,weapons,100.0850,TIER 3 / MILITARY
,AmmoBox_545x39Tracer_20Rnd,weapons,100.0850,TIER 3 / MILITARY
,Ammo_BNVSingularityCell,weapons,100.0850,TIER 3 / MILITARY
,Mag_STANAG_30Rnd,weapons,100.0900,TIER 3 / MILITARY
,Mag_CMAG_30Rnd,weapons,100.0900,TIER 3 / MILITARY
,Mag_CMAG_30Rnd_Black,weapons,100.0900,TIER 3 / MILITARY
,Mag_CMAG_30Rnd_Green,weapons,100.0900,TIER 3 / MILITARY
,Mag_Aug_30Rnd,weapons,100.0900,TIER 3 / MILITARY
,PNC_SCARH_20Rnd,weapons,100.0900,TIER 3 / MILITARY
,Mag_CZ527_5rnd,weapons,100.0910,TIER 3 / MILITARY
,KOD_RMR_Black,weapons,100.1000,TIER 3 / MILITARY
,KOD_RMR_FDE,weapons,100.1000,TIER 3 / MILITARY
,KOD_AmmoBox_762x25_50rnd,weapons,100.1000,TIER 3 / MILITARY
,KOD_M4Suppressor_NoCover,weapons,100.1000,TIER 3 / MILITARY
,KOD_M4Suppressor_Black,weapons,100.1000,TIER 3 / MILITARY
,KOD_M4Suppressor_Tan,weapons,100.1000,TIER 3 / MILITARY
,KOD_M4Suppressor_Camo,weapons,100.1000,TIER 3 / MILITARY
,KOD_PBS1Suppressor,weapons,100.1000,TIER 3 / MILITARY
,PNC_Fal_Compensator_2,weapons,100.1000,TIER 3 / MILITARY
,Mag_CMAG_40Rnd,weapons,100.1000,TIER 3 / MILITARY
,Mag_CMAG_40Rnd_Black,weapons,100.1000,TIER 3 / MILITARY
,Mag_CMAG_40Rnd_Green,weapons,100.1000,TIER 3 / MILITARY
,Mag_CZ550_4rnd,weapons,100.1000,TIER 3 / MILITARY
,Mag_M14_10Rnd,weapons,100.1000,TIER 3 / MILITARY
,Mag_M14_20Rnd,weapons,100.1000,TIER 3 / MILITARY
,Mag_KOD_CS5_10rnd,weapons,100.1000,TIER 3 / MILITARY
,Mag_KOD_Glock17_Black_16rnd,weapons,100.1000,TIER 1 & 2
,Mag_KOD_Glock17_Tan_16rnd,weapons,100.1000,TIER 1 & 2
,Mag_KOD_SA58_20Rnd,weapons,100.1000,TIER 3 / MILITARY
,Mag_KOD_SKS_20rnd,weapons,100.1000,TIER 3 / MILITARY
,Mag_KOD_VSSK_5rnd,weapons,100.1000,TIER 4 / ALIEN
,Mag_KOD_VR80_10rnd,weapons,100.1000,TIER 3 / MILITARY
,Mag_KOD_AWM_5rnd,weapons,100.1000,TIER 4 / ALIEN
,Mag_KOD_PPSh_71rnd,weapons,100.1000,TIER 3 / MILITARY
,Mag_KOD_R700_7rnd,weapons,100.1000,TIER 3 / MILITARY
,Mag_KOD_AK458_20rnd,weapons,100.1000,TIER 3 / MILITARY
,Mag_Ruger1022_30Rnd,weapons,100.1100,TIER 3 / MILITARY
,Mag_FNX45_15Rnd,weapons,100.1130,TIER 1 & 2
,Groza_Barrel_Suppressor,weapons,100.1200,TIER 3 / MILITARY
,Mag_MP5_15Rnd,weapons,100.1200,TIER 3 / MILITARY
,Mag_SVD_10Rnd,weapons,100.1200,TIER 4 / ALIEN
,Mag_FAL_20Rnd,weapons,100.1200,TIER 3 / MILITARY
,Mag_KOD_DVL10_5rnd,weapons,100.1200,TIER 3 / MILITARY
,Mag_KOD_SUB2000_30rnd,weapons,100.1200,TIER 3 / MILITARY
,Mag_KOD_VSK94_20rnd,weapons,100.1200,TIER 3 / MILITARY
,Mag_KOD_Kivaari_10rnd,weapons,100.1200,TIER 3 / MILITARY
,Mag_KOD_MDR_30rnd,weapons,100.1200,TIER 3 / MILITARY
,Mag_CZ75_15Rnd,weapons,100.1310,TIER 1 & 2
,Mag_Glock_15Rnd,weapons,100.1310,TIER 1 & 2
,Mag_IJ70_8Rnd,weapons,100.1310,TIER 1 & 2
,Mag_ShockCartridge,weapons,100.1310,TIER 3 / MILITARY
,Mag_MakarovPB_8Rnd,weapons,100.1310,TIER 1 & 2
,Mosin_Compensator,weapons,100.1500,TIER 3 / MILITARY
,Groza_Barrel_Short,weapons,100.1500,TIER 3 / MILITARY
,KOD_VSK94_Silencer,weapons,100.1500,TIER 3 / MILITARY
,KOD_VSK94_Silencer_Wrap,weapons,100.1500,TIER 3 / MILITARY
,Mag_PM73_15Rnd,weapons,100.1500,TIER 3 / MILITARY
,Mag_CZ61_20Rnd,weapons,100.1500,TIER 3 / MILITARY
,Mag_Arrows_Quiver,weapons,100.1500,TIER 3 / MILITARY
,Mag_Bolts_Quiver,weapons,100.1500,TIER 3 / MILITARY
,Mag_KOD_HK417_20rnd,weapons,100.1500,TIER 3 / MILITARY
,Mag_KOD_M1928A1_30rnd,weapons,100.1500,TIER 3 / MILITARY
,Mag_KOD_ASH12_20rnd,weapons,100.1500,TIER 3 / MILITARY
,Mag_KOD_DVL10M1_5rnd,weapons,100.1500,TIER 3 / MILITARY
,Mag_KOD_M110_20rnd,weapons,100.1500,TIER 4 / ALIEN
,Mag_KOD_Ruger_5rnd,weapons,100.1500,TIER 3 / MILITARY
,Mag_KOD_SCARH_20rnd,weapons,100.1500,TIER 3 / MILITARY
,AmmoBox_22_50Rnd,weapons,100.1550,TIER 3 / MILITARY
,AmmoBox_762x39_20Rnd,weapons,100.1650,TIER 3 / MILITARY
,AmmoBox_762x39Tracer_20Rnd,weapons,100.1650,TIER 3 / MILITARY
,AmmoBox_357_20Rnd,weapons,100.1650,TIER 3 / MILITARY
,Mag_MP5_30Rnd,weapons,100.1700,TIER 3 / MILITARY
,Mag_PM73_25Rnd,weapons,100.1700,TIER 3 / MILITARY
,KOD_AKMount,weapons,100.1750,TIER 3 / MILITARY
,KOD_MosinMount,weapons,100.1750,TIER 3 / MILITARY
,Mag_STANAGCoupled_30Rnd,weapons,100.1800,TIER 3 / MILITARY
,AmmoBox_308WinTracer_20Rnd,weapons,100.1850,TIER 3 / MILITARY
,AmmoBox_762x54_20Rnd,weapons,100.1850,TIER 3 / MILITARY
,AmmoBox_762x54Tracer_20Rnd,weapons,100.1850,TIER 3 / MILITARY
,KOD_Grip_RK2_Black,weapons,100.2000,TIER 3 / MILITARY
,KOD_Grip_Angled_FDE,weapons,100.2000,TIER 3 / MILITARY
,KOD_Grip_Shift_Black,weapons,100.2000,TIER 3 / MILITARY
,KOD_Grip_Vertical_Black,weapons,100.2000,TIER 3 / MILITARY
,KOD_RIS_Bipod,weapons,100.2000,TIER 3 / MILITARY
,KOD_Alligator_Bipod,weapons,100.2000,TIER 4 / ALIEN
,KOD_FAMAS_Bipod,weapons,100.2000,TIER 3 / MILITARY
,KOD_Vector_Suppressor,weapons,100.2000,TIER 3 / MILITARY
,KOD_KSVK_Bipod,weapons,100.2000,TIER 3 / MILITARY
,KOD_M200_Bipod_Grey,weapons,100.2000,TIER 4 / ALIEN
,KOD_M200_Bipod_Black,weapons,100.2000,TIER 4 / ALIEN
,KOD_M60E3_Bipod,weapons,100.2000,TIER 3 / MILITARY
,KOD_PKP_Bipod,weapons,100.2000,TIER 3 / MILITARY
,KOD_VSSK_Bipod,weapons,100.2000,TIER 4 / ALIEN
,PNC_Fal_Compensator_1,weapons,100.2000,TIER 3 / MILITARY
,HuntingKnife,weapons,100.2000,TIER 3 / MILITARY
,Mag_FAMAS_25Rnd,weapons,100.2000,TIER 3 / MILITARY
,Mag_Saiga_5Rnd,weapons,100.2000,TIER 3 / MILITARY
,Mag_KOD_VSS_20rnd,weapons,100.2000,TIER 3 / MILITARY
,Mag_KOD_Alligator_5rnd,weapons,100.2000,TIER 4 / ALIEN
,Mag_KOD_Glock17_Black_30rnd,weapons,100.2000,TIER 1 & 2
,Mag_KOD_Glock17_Tan_30rnd,weapons,100.2000,TIER 1 & 2
,Mag_KOD_KSVK_5rnd,weapons,100.2000,TIER 3 / MILITARY
,Mag_KOD_M200_7rnd,weapons,100.2000,TIER 4 / ALIEN
,Mag_KOD_SRS338_8rnd,weapons,100.2000,TIER 3 / MILITARY
,Mag_KOD_SRS408_5rnd,weapons,100.2000,TIER 3 / MILITARY
,Mag_KOD_VR80_30rnd,weapons,100.2000,TIER 3 / MILITARY
,Mag_KOD_SCARH_30rnd,weapons,100.2000,TIER 3 / MILITARY
,PNC_M110_Mag,weapons,100.2000,TIER 4 / ALIEN
,AmmoBox_308Win_20Rnd,weapons,100.2050,TIER 3 / MILITARY
,AmmoBox_9x19_25rnd,weapons,100.2050,TIER 3 / MILITARY
,AmmoBox_380_35rnd,weapons,100.2150,TIER 3 / MILITARY
,Mag_CZ550_10rnd,weapons,100.2200,TIER 3 / MILITARY
,Mag_SSG82_5rnd,weapons,100.2200,TIER 3 / MILITARY
,Mag_Saiga_8Rnd,weapons,100.2200,TIER 3 / MILITARY
,Mag_SV98_10Rnd,weapons,100.2200,TIER 3 / MILITARY
,Mag_P1_8Rnd,weapons,100.2270,TIER 1 & 2
,Mag_AK74_30Rnd,weapons,100.2300,TIER 3 / MILITARY
,Mag_AK74_30Rnd_Black,weapons,100.2300,TIER 3 / MILITARY
,Mag_AK74_30Rnd_Green,weapons,100.2300,TIER 3 / MILITARY
,Ammo_40mm_Explosive,weapons,100.2300,TIER 3 / MILITARY
,Ammo_40mm_ChemGas,weapons,100.2300,TIER 3 / MILITARY
,Ammo_40mm_Smoke_Red,weapons,100.2300,TIER 3 / MILITARY
,Ammo_40mm_Smoke_Green,weapons,100.2300,TIER 3 / MILITARY
,Ammo_40mm_Smoke_White,weapons,100.2300,TIER 3 / MILITARY
,Ammo_40mm_Smoke_Black,weapons,100.2300,TIER 3 / MILITARY
,KOD_OKP7,weapons,100.2500,TIER 3 / MILITARY
,KOD_AMG,weapons,100.2500,TIER 3 / MILITARY
,KOD_HHS,weapons,100.2500,TIER 3 / MILITARY
,KOD_AmmoBox_408_10Rnd,weapons,100.2500,TIER 3 / MILITARY
,KOD_Vector_Handguard,weapons,100.2500,TIER 3 / MILITARY
,KOD_PKP_Tac_Handguard_Black,weapons,100.2500,TIER 3 / MILITARY
,KOD_PKP_Tac_Handguard_FDE,weapons,100.2500,TIER 3 / MILITARY
,PNC_Fal_WoodenHndgrd,weapons,100.2500,TIER 3 / MILITARY
,PNC_Fal_PlasticHndgrd,weapons,100.2500,TIER 3 / MILITARY
,AmmoBox_40lw_20Rnd,weapons,100.2500,TIER 3 / MILITARY
,OH_mag_pouche_green,weapons,100.2500,TIER 3 / MILITARY
,OH_mag_pouche_tan,weapons,100.2500,TIER 3 / MILITARY
,OH_mag_pouche_black,weapons,100.2500,TIER 3 / MILITARY
,OH_mag_pouche_multicam,weapons,100.2500,TIER 3 / MILITARY
,OH_mag_pouche_ucp,weapons,100.2500,TIER 3 / MILITARY
,Mag_AK74_45Rnd,weapons,100.2500,TIER 3 / MILITARY
,Mag_KOD_M1928A1_100rnd,weapons,100.2500,TIER 3 / MILITARY
,Mag_KOD_Raptr_30rnd,weapons,100.2500,TIER 3 / MILITARY
,Mag_Saiga_Drum20Rnd,weapons,100.2600,TIER 3 / MILITARY
,Shemag_Brown,weapons,100.3000,TIER 3 / MILITARY
,Shemag_Green,weapons,100.3000,TIER 3 / MILITARY
,Shemag_Red,weapons,100.3000,TIER 3 / MILITARY
,Shemag_White,weapons,100.3000,TIER 3 / MILITARY
,KOD_OKP7_Mosin,weapons,100.3000,TIER 3 / MILITARY
,KOD_OKP7_AK,weapons,100.3000,TIER 3 / MILITARY
,KOD_RMR_Mosin_Black,weapons,100.3000,TIER 3 / MILITARY
,KOD_RMR_Mosin_FDE,weapons,100.3000,TIER 3 / MILITARY
,KOD_RMR_AK_Black,weapons,100.3000,TIER 3 / MILITARY
,KOD_RMR_AK_FDE,weapons,100.3000,TIER 3 / MILITARY
,KOD_Spitfire,weapons,100.3000,TIER 3 / MILITARY
,KOD_AMG_Mosin,weapons,100.3000,TIER 3 / MILITARY
,KOD_AMG_AK,weapons,100.3000,TIER 3 / MILITARY
,KOD_VortexSpitfire,weapons,100.3000,TIER 3 / MILITARY
,KOD_HHS_Mosin,weapons,100.3000,TIER 3 / MILITARY
,KOD_HHS_AK,weapons,100.3000,TIER 3 / MILITARY
,KOD_AmmoBox_458_30Rnd,weapons,100.3000,TIER 3 / MILITARY
,KOD_AmmoBox_50BMG_10Rnd,weapons,100.3000,TIER 3 / MILITARY
,KOD_AmmoBox_127x108_10Rnd,weapons,100.3000,TIER 3 / MILITARY
,KOD_AmmoBox_338_20Rnd,weapons,100.3000,TIER 3 / MILITARY
,KOD_M200_Suppressor,weapons,100.3000,TIER 4 / ALIEN
,KOD_PKP_Tac_Rail_Black,weapons,100.3000,TIER 3 / MILITARY
,KOD_PKP_Tac_Rail_FDE,weapons,100.3000,TIER 3 / MILITARY
,KOD_VSK94_Hndgrd_Accs,weapons,100.3000,TIER 3 / MILITARY
,KOD_VSK94_Hndgrd,weapons,100.3000,TIER 3 / MILITARY
,KOD_AR15Skeleton_Buttstock,weapons,100.3000,TIER 3 / MILITARY
,Mag_KOD_AS50_10Rnd,weapons,100.3000,TIER 4 / ALIEN
,Mag_KOD_HK21_50rnd,weapons,100.3000,TIER 3 / MILITARY
,Mag_KOD_DrumShotgun_30rnd,weapons,100.3000,TIER 3 / MILITARY
,Mag_KOD_Evolys_100rnd,weapons,100.3000,TIER 3 / MILITARY
,Mag_KOD_GM6Lynx_5Rnd,weapons,100.3000,TIER 4 / ALIEN
,Mag_KOD_M82A2_10rnd,weapons,100.3000,TIER 4 / ALIEN
,AmmoBox_45ACP_25rnd,weapons,100.3050,TIER 3 / MILITARY
,PoliceCap,weapons,100.3200,TIER 3 / MILITARY
,AmmoBox_9x39AP_20Rnd,weapons,100.3250,TIER 3 / MILITARY
,AmmoBox_9x39_20Rnd,weapons,100.3450,TIER 3 / MILITARY
,KOD_VortexSpitfire_Mosin,weapons,100.3500,TIER 3 / MILITARY
,KOD_VortexSpitfire_AK,weapons,100.3500,TIER 3 / MILITARY
,KOD_VSK94_Bttstck,weapons,100.3500,TIER 3 / MILITARY
,Mag_UMP_25Rnd,weapons,100.3500,TIER 3 / MILITARY
,Mag_VSS_10Rnd,weapons,100.3500,TIER 3 / MILITARY
,Groza_Barrel_Grip,weapons,100.3540,TIER 3 / MILITARY
,Groza_LowerReceiver,weapons,100.3540,TIER 3 / MILITARY
,KOD_Vector_Buttstock,weapons,100.3540,TIER 3 / MILITARY
,PNC_AEK971butt,weapons,100.3540,TIER 3 / MILITARY
,PNC_M110Butt,weapons,100.3540,TIER 4 / ALIEN
,AmmoBox_00buck_10rnd,weapons,100.3550,TIER 3 / MILITARY
,AmmoBox_12gaSlug_10Rnd,weapons,100.3550,TIER 3 / MILITARY
,M249_Bipod,weapons,100.3760,TIER 3 / MILITARY
,Ammo_GrenadeM4,weapons,100.3970,TIER 3 / MILITARY
,KOD_Suppressor_308,weapons,100.4000,TIER 3 / MILITARY
,Mag_AK101_30Rnd,weapons,100.4000,TIER 3 / MILITARY
,Mag_AK101_30Rnd_Black,weapons,100.4000,TIER 3 / MILITARY
,Mag_AK101_30Rnd_Green,weapons,100.4000,TIER 3 / MILITARY
,Mag_PP19_64Rnd,weapons,100.4000,TIER 1 & 2
,Mag_KOD_Drum308_50rnd,weapons,100.4000,TIER 3 / MILITARY
,Mag_KOD_VSS_40rnd,weapons,100.4000,TIER 3 / MILITARY
,Mag_KOD_AK47_20rnd,weapons,100.4000,TIER 3 / MILITARY
,Mag_KOD_AKALPHA_30rnd,weapons,100.4000,TIER 3 / MILITARY
,Mag_KOD_M60_100rnd,weapons,100.4000,TIER 3 / MILITARY
,PNC_VSSK_Mag,weapons,100.4000,TIER 4 / ALIEN
,PNC_Famas_Mag,weapons,100.4000,TIER 3 / MILITARY
,Mag_KOD_M249_200rnd,weapons,100.4000,TIER 3 / MILITARY
,Mag_KOD_RSASS_20rnd,weapons,100.4000,TIER 3 / MILITARY
,PNC_M200_Mag,weapons,100.4000,TIER 4 / ALIEN
,PNC_TAC21_Mag,weapons,100.4000,TIER 3 / MILITARY
,Mag_Groza_20Rnd,weapons,100.4100,TIER 3 / MILITARY
,Mag_AKM_30Rnd,weapons,100.4300,TIER 3 / MILITARY
,Mag_AKM_Palm30Rnd,weapons,100.4300,TIER 3 / MILITARY
,Mag_AKM_Palm30Rnd_Black,weapons,100.4300,TIER 3 / MILITARY
,Mag_AKM_Palm30Rnd_Green,weapons,100.4300,TIER 3 / MILITARY
,KOD_ACOG,weapons,100.4400,TIER 3 / MILITARY
,KOD_ACOG_RMR_Black,weapons,100.4400,TIER 3 / MILITARY
,KOD_ACOG_RMR_FDE,weapons,100.4400,TIER 3 / MILITARY
,SKS_Bayonet,weapons,100.4500,TIER 3 / MILITARY
